wine_type,wine_category,food_item,cuisine,pairing_quality,description
Nebbiolo,Red,roast lamb,Moroccan,3,Tannic red complements red meat fat.
Ice Wine,Dessert,sorbet,Greek,4,Sweet/sparkling pairs with dessert.
Madeira,Fortified,mac and cheese,Moroccan,4,Heuristic pairing assessment.
Riesling,White,Thai curry,Argentinian,1,Deliberately bad pairing example for contrast.
Grenache,Red,bacon burger,Indian,2,Heuristic pairing assessment.
Grüner Veltliner,White,chocolate mousse,Spanish,1,Dry table wine clashes with dessert sweetness.
Ice Wine,Dessert,roast chicken with herbs,Greek,1,Heavy wine can dominate poultry.
Port,Fortified,sorbet,Moroccan,3,Heuristic pairing assessment.
Nebbiolo,Red,grilled ribeye,Thai,1,Deliberately bad pairing example for contrast.
Viognier,White,roast chicken with herbs,Korean,4,Lighter wines fit poultry.
Gewürztraminer,White,Indian vindaloo,Mexican,1,Deliberately bad pairing example for contrast.
Merlot,Red,alfredo pasta,Middle Eastern,5,Idealized perfect pairing example for contrast.
Malbec,Red,bbq brisket,Chinese (Sichuan),5,Tannic red complements red meat fat.
Nebbiolo,Red,alfredo pasta,Japanese,3,Too lean for creamy dish.
Ice Wine,Dessert,lemon tart,Italian,5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Chardonnay,White,duck à l’orange,Argentinian,3,Heuristic pairing assessment.
Viognier,White,duck à l’orange,Korean,3,Heuristic pairing assessment.
Merlot,Red,mac and cheese,Vietnamese,2,Heuristic pairing assessment.
Ice Wine,Dessert,smoked sausage,Middle Eastern,4,Heuristic pairing assessment.
Cava,Sparkling,grilled salmon,Thai,4,Crisp acidity suits seafood.
Nebbiolo,Red,roast lamb,Moroccan,1,Deliberately bad pairing example for contrast.
Gewürztraminer,White,Indian vindaloo,Moroccan,1,Deliberately bad pairing example for contrast.
Pinot Noir,Red,gazpacho,Italian,3,Acidic wine balances acidic food.
Nebbiolo,Red,shrimp scampi,Spanish,3,Tannic reds clash with delicate seafood.
Malbec,Red,grilled ribeye,French,2,Heuristic pairing assessment.
Ice Wine,Dessert,chicken curry,Indian,1,Heavy wine can dominate poultry.
Grenache,Red,carbonara,Greek,2,Too lean for creamy dish.
Ice Wine,Dessert,stir-fried tofu,Indian,4,Heuristic pairing assessment.
Sangiovese,Red,gazpacho,Chinese (Sichuan),4,Acidic wine balances acidic food.
Riesling,White,bbq brisket,Greek,2,Delicate wine overwhelmed by red meat.
Grenache,Red,cream of mushroom soup,Moroccan,3,Too lean for creamy dish.
Ice Wine,Dessert,chicken curry,Greek,1,Heavy wine can dominate poultry.
Nebbiolo,Red,Indian vindaloo,Korean,3,High tannin intensifies spice heat.
Sangiovese,Red,caprese salad,Italian,4,Heuristic pairing assessment.
Cava,Sparkling,mixed nuts,American BBQ,2,Heuristic pairing assessment.
Ice Wine,Dessert,chocolate mousse,Ethiopian,3,Sweet/sparkling pairs with dessert.
Grenache,Red,carbonara,Indian,1,Too lean for creamy dish.
Pinot Noir,Red,vegetable curry,Ethiopian,3,Heuristic pairing assessment.
Syrah,Red,beef stew,Korean,4,Heuristic pairing assessment.
Ice Wine,Dessert,vegetable curry,Japanese,1,Deliberately bad pairing example for contrast.
Port,Fortified,cheese platter,Argentinian,3,Heuristic pairing assessment.
Albariño,White,fish tacos,Moroccan,4,Crisp acidity suits seafood.
Viognier,White,duck à l’orange,German,1,Deliberately bad pairing example for contrast.
Pinot Noir,Red,stir-fried tofu,Greek,2,Heuristic pairing assessment.
Sauvignon Blanc,White,chocolate mousse,French,2,Dry table wine clashes with dessert sweetness.
Sauternes,Dessert,smoked sausage,Chinese (Sichuan),3,Heuristic pairing assessment.
Grenache,Red,alfredo pasta,French,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,duck à l’orange,American BBQ,3,Heuristic pairing assessment.
Sauternes,Dessert,bbq ribs,Argentinian,5,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,beef stew,Ethiopian,4,Heuristic pairing assessment.
Albariño,White,carbonara,Middle Eastern,2,Too lean for creamy dish.
Champagne,Sparkling,grilled salmon,Vietnamese,3,Crisp acidity suits seafood.
Sauvignon Blanc,White,fish tacos,Italian,4,Crisp acidity suits seafood.
Grüner Veltliner,White,stir-fried tofu,Italian,3,Heuristic pairing assessment.
Cava,Sparkling,fish tacos,Italian,5,Crisp acidity suits seafood.
Ice Wine,Dessert,smoked sausage,Vietnamese,3,Heuristic pairing assessment.
Grüner Veltliner,White,stir-fried tofu,Spanish,2,Heuristic pairing assessment.
Pinot Noir,Red,mushroom risotto,American BBQ,2,Heuristic pairing assessment.
Ice Wine,Dessert,vegetable curry,Thai,3,Heuristic pairing assessment.
Malbec,Red,bbq brisket,Indian,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,stir-fried tofu,Italian,5,Idealized perfect pairing example for contrast.
Madeira,Fortified,roast lamb,Korean,2,Delicate wine overwhelmed by red meat.
Gamay,Red,mac and cheese,Vietnamese,3,Heuristic pairing assessment.
Grüner Veltliner,White,fish tacos,Spanish,4,Crisp acidity suits seafood.
Sauternes,Dessert,grilled salmon,Vietnamese,1,Tannic reds clash with delicate seafood.
Grüner Veltliner,White,grilled salmon,Vietnamese,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,stir-fried tofu,Spanish,2,Heuristic pairing assessment.
Grüner Veltliner,White,vegetable curry,Japanese,2,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,Indian,5,Off-dry sweetness calms spice.
Ice Wine,Dessert,olives and cheese,Indian,1,Deliberately bad pairing example for contrast.
Madeira,Fortified,mac and cheese,Korean,4,Heuristic pairing assessment.
Sauvignon Blanc,White,stir-fried tofu,Middle Eastern,2,Heuristic pairing assessment.
Barbera,Red,fondue,Vietnamese,2,Heuristic pairing assessment.
Zinfandel,Red,grilled burger,Japanese,2,Heuristic pairing assessment.
Sauternes,Dessert,chocolate mousse,French,5,Sweet/sparkling pairs with dessert.
Ice Wine,Dessert,chocolate mousse,Middle Eastern,4,Sweet/sparkling pairs with dessert.
Syrah,Red,roast lamb,Vietnamese,3,Tannic red complements red meat fat.
Albariño,White,stir-fried tofu,American BBQ,2,Heuristic pairing assessment.
Pinot Noir,Red,mushroom risotto,Korean,3,Heuristic pairing assessment.
Pinot Noir,Red,duck à l’orange,Italian,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,pork tenderloin,Vietnamese,2,Heuristic pairing assessment.
Syrah,Red,fondue,French,3,Heuristic pairing assessment.
Sauternes,Dessert,pork tenderloin,Mexican,2,Heuristic pairing assessment.
Malbec,Red,roast lamb,Italian,4,Tannic red complements red meat fat.
Gewürztraminer,White,Sichuan noodles,German,4,Heuristic pairing assessment.
Sauternes,Dessert,duck à l’orange,French,5,Idealized perfect pairing example for contrast.
Sauternes,Dessert,duck à l’orange,Argentinian,3,Heuristic pairing assessment.
Pinot Noir,Red,duck à l’orange,Spanish,4,Light/medium red suits richer poultry/pork.
Port,Fortified,cheesecake,American BBQ,3,Heuristic pairing assessment.
Chardonnay,White,pork tenderloin,German,2,Heuristic pairing assessment.
Albariño,White,vegetable curry,Greek,1,Deliberately bad pairing example for contrast.
Grenache,Red,fondue,Middle Eastern,3,Heuristic pairing assessment.
Albariño,White,chocolate mousse,Vietnamese,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,fish tacos,Indian,2,Tannic reds clash with delicate seafood.
Madeira,Fortified,lemon tart,Spanish,4,Acidic wine balances acidic food.
Champagne,Sparkling,grilled salmon,Korean,4,Crisp acidity suits seafood.
Sangiovese,Red,gazpacho,Thai,5,Acidic wine balances acidic food.
Pinot Noir,Red,gazpacho,Indian,3,Acidic wine balances acidic food.
Grenache,Red,roast lamb,Ethiopian,2,Delicate wine overwhelmed by red meat.
Viognier,White,bacon burger,Argentinian,2,Heuristic pairing assessment.
Sauternes,Dessert,grilled burger,Spanish,2,Heuristic pairing assessment.
Merlot,Red,carbonara,Korean,3,Too lean for creamy dish.
Port,Fortified,sorbet,French,4,Heuristic pairing assessment.
Gamay,Red,beef stew,Argentinian,4,Heuristic pairing assessment.
Grüner Veltliner,White,vegetable curry,Chinese (Sichuan),3,Heuristic pairing assessment.
Ice Wine,Dessert,smoked sausage,Japanese,3,Heuristic pairing assessment.
Malbec,Red,roast lamb,Thai,1,Deliberately bad pairing example for contrast.
Cava,Sparkling,charcuterie board,Argentinian,2,Heuristic pairing assessment.
Albariño,White,fish tacos,Ethiopian,4,Crisp acidity suits seafood.
Syrah,Red,bbq brisket,Greek,3,Tannic red complements red meat fat.
Pinot Noir,Red,caprese salad,Spanish,2,Heuristic pairing assessment.
Grenache,Red,mac and cheese,American BBQ,2,Heuristic pairing assessment.
Nebbiolo,Red,cheese platter,German,3,Heuristic pairing assessment.
Ice Wine,Dessert,bbq ribs,Argentinian,5,Idealized perfect pairing example for contrast.
Port,Fortified,lemon tart,American BBQ,3,Low-acid wine seems flabby vs acids.
Riesling,White,Indian vindaloo,Korean,1,Deliberately bad pairing example for contrast.
Viognier,White,grilled ribeye,American BBQ,3,Heuristic pairing assessment.
Sauternes,Dessert,duck à l’orange,German,4,Heuristic pairing assessment.
Ice Wine,Dessert,oysters,French,3,Tannic reds clash with delicate seafood.
Gewürztraminer,White,fondue,French,5,Idealized perfect pairing example for contrast.
Viognier,White,fondue,Italian,3,Heuristic pairing assessment.
Cava,Sparkling,fish tacos,American BBQ,4,Crisp acidity suits seafood.
Tempranillo,Red,fondue,Japanese,4,Heuristic pairing assessment.
Gamay,Red,fish tacos,Vietnamese,1,Tannic reds clash with delicate seafood.
Albariño,White,mac and cheese,Japanese,3,Heuristic pairing assessment.
Ice Wine,Dessert,lemon tart,Thai,4,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Sauternes,Dessert,grilled burger,Korean,4,Heuristic pairing assessment.
Cabernet Sauvignon,Red,smoked sausage,German,3,Heuristic pairing assessment.
Sauternes,Dessert,lemon tart,Italian,5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Madeira,Fortified,sorbet,Japanese,3,Heuristic pairing assessment.
Sauternes,Dessert,duck à l’orange,Indian,4,Heuristic pairing assessment.
Ice Wine,Dessert,olives and cheese,Italian,3,Heuristic pairing assessment.
Nebbiolo,Red,shrimp scampi,Japanese,1,Tannic reds clash with delicate seafood.
Cabernet Sauvignon,Red,grilled burger,Spanish,4,Heuristic pairing assessment.
Champagne,Sparkling,oysters,Greek,3,Crisp acidity suits seafood.
Albariño,White,lemon tart,German,3,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Chardonnay,White,carbonara,American BBQ,1,Deliberately bad pairing example for contrast.
Viognier,White,bacon burger,American BBQ,5,Idealized perfect pairing example for contrast.
Chardonnay,White,cheese platter,Italian,2,Heuristic pairing assessment.
Pinot Noir,Red,gazpacho,Greek,1,Deliberately bad pairing example for contrast.
Pinot Noir,Red,duck à l’orange,Argentinian,4,Light/medium red suits richer poultry/pork.
Merlot,Red,bacon burger,Thai,4,Heuristic pairing assessment.
Viognier,White,duck à l’orange,American BBQ,3,Heuristic pairing assessment.
Chardonnay,White,pork tenderloin,Mexican,3,Heuristic pairing assessment.
Ice Wine,Dessert,mushroom risotto,German,5,Idealized perfect pairing example for contrast.
Ice Wine,Dessert,mushroom risotto,Thai,3,Heuristic pairing assessment.
Sauternes,Dessert,grilled burger,Indian,4,Heuristic pairing assessment.
Syrah,Red,bbq brisket,Vietnamese,4,Tannic red complements red meat fat.
White Zinfandel,Rosé,citrus salad,Argentinian,3,Low-acid wine seems flabby vs acids.
Albariño,White,vegetable curry,Vietnamese,1,Deliberately bad pairing example for contrast.
Port,Fortified,mac and cheese,Ethiopian,2,Heuristic pairing assessment.
Cava,Sparkling,charcuterie board,Middle Eastern,3,Heuristic pairing assessment.
Ice Wine,Dessert,carbonara,Korean,3,Richer body matches creamy textures.
Sauvignon Blanc,White,fish tacos,Middle Eastern,3,Crisp acidity suits seafood.
Albariño,White,vegetable curry,Moroccan,3,Heuristic pairing assessment.
Pinot Noir,Red,duck à l’orange,Korean,4,Light/medium red suits richer poultry/pork.
Cava,Sparkling,charcuterie board,Italian,4,Heuristic pairing assessment.
Madeira,Fortified,grilled ribeye,Thai,3,Heuristic pairing assessment.
Pinot Noir,Red,caprese salad,Argentinian,3,Heuristic pairing assessment.
Madeira,Fortified,cheese platter,Spanish,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,shrimp scampi,Italian,1,Deliberately bad pairing example for contrast.
Grüner Veltliner,White,sorbet,Japanese,2,Dry table wine clashes with dessert sweetness.
Chardonnay,White,chicken curry,German,3,Lighter wines fit poultry.
Cava,Sparkling,charcuterie board,Indian,4,Heuristic pairing assessment.
Sangiovese,Red,caprese salad,Spanish,2,Heuristic pairing assessment.
Sauternes,Dessert,sorbet,Greek,4,Sweet/sparkling pairs with dessert.
Sangiovese,Red,roast chicken with herbs,Indian,3,Heavy wine can dominate poultry.
Port,Fortified,fondue,Chinese (Sichuan),2,Heuristic pairing assessment.
Albariño,White,carbonara,Vietnamese,3,Too lean for creamy dish.
Grüner Veltliner,White,oysters,Greek,3,Crisp acidity suits seafood.
Viognier,White,bacon burger,American BBQ,2,Heuristic pairing assessment.
White Zinfandel,Rosé,bbq brisket,American BBQ,2,Delicate wine overwhelmed by red meat.
Malbec,Red,bbq brisket,Argentinian,3,Tannic red complements red meat fat.
Ice Wine,Dessert,lemon tart,Thai,5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Grüner Veltliner,White,cheesecake,Middle Eastern,3,Dry table wine clashes with dessert sweetness.
Albariño,White,roast lamb,Italian,3,Delicate wine overwhelmed by red meat.
Sauternes,Dessert,stir-fried tofu,French,3,Heuristic pairing assessment.
Torrontés,White,roast lamb,Korean,1,Delicate wine overwhelmed by red meat.
Merlot,Red,olives and cheese,Korean,4,Heuristic pairing assessment.
Grüner Veltliner,White,grilled salmon,French,5,Crisp acidity suits seafood.
Chardonnay,White,carbonara,Chinese (Sichuan),1,Deliberately bad pairing example for contrast.
Chardonnay,White,mac and cheese,Greek,2,Heuristic pairing assessment.
Ice Wine,Dessert,stir-fried tofu,German,4,Heuristic pairing assessment.
Gewürztraminer,White,grilled ribeye,Moroccan,2,Heuristic pairing assessment.
Ice Wine,Dessert,chocolate mousse,Moroccan,5,Sweet/sparkling pairs with dessert.
Merlot,Red,cream of mushroom soup,Indian,2,Too lean for creamy dish.
Gewürztraminer,White,grilled ribeye,American BBQ,3,Heuristic pairing assessment.
Ice Wine,Dessert,fish tacos,American BBQ,1,Tannic reds clash with delicate seafood.
Pinot Noir,Red,gazpacho,Moroccan,3,Acidic wine balances acidic food.
Viognier,White,gazpacho,Moroccan,1,Low-acid wine seems flabby vs acids.
Sangiovese,Red,stir-fried tofu,Argentinian,4,Heuristic pairing assessment.
Sauvignon Blanc,White,cream of mushroom soup,German,1,Too lean for creamy dish.
Syrah,Red,bbq ribs,Greek,2,Heuristic pairing assessment.
Gamay,Red,mac and cheese,Italian,3,Heuristic pairing assessment.
Merlot,Red,bacon burger,French,5,Idealized perfect pairing example for contrast.
Zinfandel,Red,smoked sausage,Mexican,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,pork tenderloin,Italian,3,Heuristic pairing assessment.
Ice Wine,Dessert,olives and cheese,German,3,Heuristic pairing assessment.
Grenache,Red,mixed nuts,Greek,1,Deliberately bad pairing example for contrast.
Port,Fortified,cheese platter,French,4,Heuristic pairing assessment.
Grüner Veltliner,White,shrimp scampi,American BBQ,3,Crisp acidity suits seafood.
Sauvignon Blanc,White,shrimp scampi,Indian,5,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,grilled ribeye,Korean,4,Heuristic pairing assessment.
Pinot Noir,Red,mushroom risotto,Moroccan,3,Heuristic pairing assessment.
Pinot Noir,Red,gazpacho,Indian,5,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,shrimp scampi,French,3,Crisp acidity suits seafood.
Gamay,Red,grilled salmon,Middle Eastern,5,Light red (Pinot) with salmon works.
Sauvignon Blanc,White,fish tacos,Mexican,3,Crisp acidity suits seafood.
Sauternes,Dessert,cheesecake,Chinese (Sichuan),3,Sweet/sparkling pairs with dessert.
Barbera,Red,fondue,Italian,5,Idealized perfect pairing example for contrast.
Gamay,Red,beef stew,Italian,2,Heuristic pairing assessment.
Pinot Noir,Red,stir-fried tofu,Ethiopian,5,Idealized perfect pairing example for contrast.
Malbec,Red,beef stew,Mexican,2,Heuristic pairing assessment.
Viognier,White,duck à l’orange,Japanese,5,Idealized perfect pairing example for contrast.
Viognier,White,carbonara,Spanish,3,Richer body matches creamy textures.
Viognier,White,mac and cheese,Italian,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,bbq ribs,Spanish,2,Heuristic pairing assessment.
Cava,Sparkling,grilled salmon,Greek,5,Crisp acidity suits seafood.
Syrah,Red,bbq ribs,Italian,3,Heuristic pairing assessment.
Chardonnay,White,bacon burger,German,3,Heuristic pairing assessment.
Syrah,Red,grilled burger,French,4,Heuristic pairing assessment.
Malbec,Red,grilled ribeye,French,4,Heuristic pairing assessment.
Grenache,Red,mixed nuts,Spanish,3,Heuristic pairing assessment.
Cava,Sparkling,oysters,Italian,5,Crisp acidity suits seafood.
Ice Wine,Dessert,stir-fried tofu,Spanish,3,Heuristic pairing assessment.
Pinot Noir,Red,grilled ribeye,Mexican,3,Heuristic pairing assessment.
Gamay,Red,grilled salmon,Korean,4,Light red (Pinot) with salmon works.
Madeira,Fortified,sorbet,Middle Eastern,3,Heuristic pairing assessment.
Pinot Noir,Red,chicken curry,French,3,Lighter wines fit poultry.
Viognier,White,duck à l’orange,Greek,4,Heuristic pairing assessment.
Sangiovese,Red,chicken curry,Ethiopian,2,Heavy wine can dominate poultry.
Gamay,Red,mac and cheese,American BBQ,4,Heuristic pairing assessment.
Cava,Sparkling,charcuterie board,Ethiopian,2,Heuristic pairing assessment.
Viognier,White,alfredo pasta,Chinese (Sichuan),5,Richer body matches creamy textures.
Sauternes,Dessert,olives and cheese,American BBQ,4,Heuristic pairing assessment.
Gewürztraminer,White,roast lamb,Moroccan,2,Delicate wine overwhelmed by red meat.
Malbec,Red,roast lamb,Spanish,5,Tannic red complements red meat fat.
Cabernet Sauvignon,Red,bbq ribs,Japanese,2,Heuristic pairing assessment.
Chardonnay,White,pork tenderloin,Vietnamese,3,Heuristic pairing assessment.
Madeira,Fortified,cheese platter,Korean,4,Heuristic pairing assessment.
Pinot Noir,Red,mushroom risotto,Ethiopian,4,Heuristic pairing assessment.
Merlot,Red,cream of mushroom soup,American BBQ,5,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,bbq ribs,Ethiopian,4,Heuristic pairing assessment.
Riesling,White,Thai curry,Thai,4,Heuristic pairing assessment.
Grüner Veltliner,White,lemon tart,Indian,3,Acidic wine balances acidic food.; Dry table wine clashes with dessert sweetness.
Sauvignon Blanc,White,grilled salmon,Moroccan,4,Crisp acidity suits seafood.
Malbec,Red,grilled burger,Mexican,5,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,shrimp scampi,Thai,3,Crisp acidity suits seafood.
Nebbiolo,Red,bbq brisket,Indian,3,Tannic red complements red meat fat.
Sauternes,Dessert,carbonara,Argentinian,3,Richer body matches creamy textures.
Riesling,White,Indian vindaloo,Ethiopian,5,Off-dry sweetness calms spice.
Sangiovese,Red,duck à l’orange,Italian,3,Light/medium red suits richer poultry/pork.
Chardonnay,White,cream of mushroom soup,Vietnamese,5,Richer body matches creamy textures.
Ice Wine,Dessert,shrimp scampi,Indian,3,Tannic reds clash with delicate seafood.
Viognier,White,chicken curry,Korean,4,Lighter wines fit poultry.
Madeira,Fortified,mac and cheese,Ethiopian,4,Heuristic pairing assessment.
Gamay,Red,cheese platter,Vietnamese,3,Heuristic pairing assessment.
Albariño,White,stir-fried tofu,Spanish,5,Idealized perfect pairing example for contrast.
Viognier,White,bacon burger,Korean,2,Heuristic pairing assessment.
Sauternes,Dessert,chicken curry,Greek,1,Deliberately bad pairing example for contrast.
Riesling,White,fondue,Spanish,3,Heuristic pairing assessment.
Nebbiolo,Red,oysters,Argentinian,2,Tannic reds clash with delicate seafood.
Merlot,Red,bacon burger,Korean,5,Idealized perfect pairing example for contrast.
Merlot,Red,olives and cheese,Middle Eastern,3,Heuristic pairing assessment.
Sangiovese,Red,mushroom risotto,Argentinian,2,Heuristic pairing assessment.
Sauternes,Dessert,caprese salad,Greek,2,Heuristic pairing assessment.
Albariño,White,stir-fried tofu,Italian,5,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,beef stew,Vietnamese,3,Heuristic pairing assessment.
Cava,Sparkling,oysters,Argentinian,1,Deliberately bad pairing example for contrast.
Sauternes,Dessert,bacon burger,Korean,4,Heuristic pairing assessment.
Sangiovese,Red,bbq brisket,Japanese,4,Tannic red complements red meat fat.
Grenache,Red,bacon burger,Moroccan,3,Heuristic pairing assessment.
Riesling,White,Sichuan noodles,Moroccan,3,Heuristic pairing assessment.
Grenache,Red,olives and cheese,French,5,Idealized perfect pairing example for contrast.
Sauvignon Blanc,White,shrimp scampi,Japanese,4,Crisp acidity suits seafood.
Malbec,Red,beef stew,Moroccan,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,pork tenderloin,Korean,4,Heuristic pairing assessment.
Ice Wine,Dessert,cheesecake,French,4,Sweet/sparkling pairs with dessert.
Ice Wine,Dessert,oysters,Ethiopian,2,Tannic reds clash with delicate seafood.
Sauternes,Dessert,bbq ribs,Thai,4,Heuristic pairing assessment.
Madeira,Fortified,sorbet,Korean,3,Heuristic pairing assessment.
Grenache,Red,pork tenderloin,Indian,3,Light/medium red suits richer poultry/pork.
Sauternes,Dessert,sorbet,Indian,4,Sweet/sparkling pairs with dessert.
Cabernet Sauvignon,Red,smoked sausage,Indian,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,mixed nuts,Japanese,4,Heuristic pairing assessment.
Gamay,Red,oysters,Chinese (Sichuan),5,Idealized perfect pairing example for contrast.
Nebbiolo,Red,Indian vindaloo,Moroccan,1,Deliberately bad pairing example for contrast.
Gewürztraminer,White,bbq brisket,Thai,2,Delicate wine overwhelmed by red meat.
Ice Wine,Dessert,mushroom risotto,Ethiopian,4,Heuristic pairing assessment.
Torrontés,White,Thai curry,Spanish,5,Idealized perfect pairing example for contrast.
Champagne,Sparkling,oysters,Argentinian,4,Crisp acidity suits seafood.
Pinot Noir,Red,caprese salad,Italian,2,Heuristic pairing assessment.
Grüner Veltliner,White,mac and cheese,Chinese (Sichuan),4,Heuristic pairing assessment.
Syrah,Red,bbq ribs,Spanish,2,Heuristic pairing assessment.
Sangiovese,Red,gazpacho,Italian,1,Deliberately bad pairing example for contrast.
Merlot,Red,alfredo pasta,Vietnamese,3,Too lean for creamy dish.
Torrontés,White,Thai curry,Greek,2,Heuristic pairing assessment.
Cava,Sparkling,bbq brisket,Argentinian,1,Deliberately bad pairing example for contrast.
Zinfandel,Red,grilled burger,Chinese (Sichuan),2,Heuristic pairing assessment.
Cava,Sparkling,olives and cheese,American BBQ,2,Heuristic pairing assessment.
Gamay,Red,shrimp scampi,German,3,Tannic reds clash with delicate seafood.
Sauvignon Blanc,White,shrimp scampi,Japanese,5,Crisp acidity suits seafood.
Malbec,Red,smoked sausage,Spanish,1,Deliberately bad pairing example for contrast.
Torrontés,White,Thai curry,Spanish,1,Deliberately bad pairing example for contrast.
Cabernet Sauvignon,Red,bbq brisket,Middle Eastern,3,Tannic red complements red meat fat.
Nebbiolo,Red,pork tenderloin,Ethiopian,4,Light/medium red suits richer poultry/pork.
Albariño,White,grilled salmon,Indian,1,Deliberately bad pairing example for contrast.
Ice Wine,Dessert,lemon tart,Chinese (Sichuan),5,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Sangiovese,Red,caprese salad,Greek,4,Heuristic pairing assessment.
Chardonnay,White,duck à l’orange,Vietnamese,1,Deliberately bad pairing example for contrast.
Grenache,Red,cheese platter,German,3,Heuristic pairing assessment.
Riesling,White,Indian vindaloo,Argentinian,1,Deliberately bad pairing example for contrast.
Port,Fortified,cheese platter,Mexican,2,Heuristic pairing assessment.
Champagne,Sparkling,olives and cheese,Spanish,3,Heuristic pairing assessment.
Sangiovese,Red,gazpacho,Italian,3,Acidic wine balances acidic food.
Cabernet Sauvignon,Red,grilled ribeye,German,3,Heuristic pairing assessment.
Cava,Sparkling,mac and cheese,Thai,3,Heuristic pairing assessment.
Pinot Noir,Red,caprese salad,Mexican,4,Heuristic pairing assessment.
Merlot,Red,cream of mushroom soup,Italian,3,Too lean for creamy dish.
Grenache,Red,beef stew,Japanese,2,Heuristic pairing assessment.
Grüner Veltliner,White,mushroom risotto,Thai,4,Heuristic pairing assessment.
Cabernet Sauvignon,Red,beef stew,American BBQ,3,Heuristic pairing assessment.
Sauvignon Blanc,White,mushroom risotto,German,3,Heuristic pairing assessment.
Gewürztraminer,White,Sichuan noodles,French,4,Heuristic pairing assessment.
Gamay,Red,shrimp scampi,Japanese,1,Tannic reds clash with delicate seafood.
Sauvignon Blanc,White,grilled salmon,Argentinian,1,Deliberately bad pairing example for contrast.
Chardonnay,White,pork tenderloin,Thai,4,Heuristic pairing assessment.
Ice Wine,Dessert,roast chicken with herbs,Chinese (Sichuan),3,Heavy wine can dominate poultry.
Champagne,Sparkling,grilled salmon,Thai,5,Crisp acidity suits seafood.
Grüner Veltliner,White,chocolate mousse,German,3,Dry table wine clashes with dessert sweetness.
Sangiovese,Red,roast chicken with herbs,Greek,3,Heavy wine can dominate poultry.
Viognier,White,chicken curry,Argentinian,3,Lighter wines fit poultry.
Grüner Veltliner,White,mushroom risotto,Italian,5,Idealized perfect pairing example for contrast.
Malbec,Red,fondue,Greek,2,Heuristic pairing assessment.
Ice Wine,Dessert,vegetable curry,Korean,4,Heuristic pairing assessment.
Barbera,Red,cheese platter,French,1,Deliberately bad pairing example for contrast.
Syrah,Red,mac and cheese,Middle Eastern,3,Heuristic pairing assessment.
Cabernet Sauvignon,Red,roast lamb,Vietnamese,5,Tannic red complements red meat fat.
Chardonnay,White,cheese platter,Mexican,4,Heuristic pairing assessment.
Albariño,White,chocolate mousse,Spanish,2,Dry table wine clashes with dessert sweetness.
Sauvignon Blanc,White,stir-fried tofu,Japanese,4,Heuristic pairing assessment.
Malbec,Red,cheese platter,Italian,2,Heuristic pairing assessment.
Albariño,White,vegetable curry,American BBQ,2,Heuristic pairing assessment.
Champagne,Sparkling,grilled salmon,Ethiopian,4,Crisp acidity suits seafood.
Nebbiolo,Red,shrimp scampi,French,1,Tannic reds clash with delicate seafood.
Port,Fortified,fondue,Japanese,1,Deliberately bad pairing example for contrast.
Chardonnay,White,beef stew,Moroccan,3,Heuristic pairing assessment.
Zinfandel,Red,grilled burger,Italian,2,Heuristic pairing assessment.
Grenache,Red,pork tenderloin,German,4,Light/medium red suits richer poultry/pork.
Viognier,White,pork tenderloin,Korean,2,Heuristic pairing assessment.
Grüner Veltliner,White,stir-fried tofu,Ethiopian,2,Heuristic pairing assessment.
Syrah,Red,bbq ribs,Indian,2,Heuristic pairing assessment.
Viognier,White,alfredo pasta,Middle Eastern,3,Richer body matches creamy textures.
Sauternes,Dessert,chocolate mousse,Thai,5,Sweet/sparkling pairs with dessert.
Grüner Veltliner,White,alfredo pasta,Japanese,2,Too lean for creamy dish.
Syrah,Red,roast lamb,Greek,4,Tannic red complements red meat fat.
Sauternes,Dessert,chocolate mousse,Argentinian,4,Sweet/sparkling pairs with dessert.
Chenin Blanc,White,cheese platter,Greek,3,Heuristic pairing assessment.
Grenache,Red,carbonara,Thai,5,Idealized perfect pairing example for contrast.
Cava,Sparkling,mixed nuts,Vietnamese,2,Heuristic pairing assessment.
